town,Region,population,Galician frac,Bilingual frac.,Slovenian Frac.,S,k,lat,lon
Mondariz-Balneario,A Paradanta,618,0.132,0.579,0.289,0.45,0.78,-8.47,42.23
Mondego,A Coruña,880,0.02,0.475,0.505,0.3,0.78,-8.29,43.36
Mondoñedo,A Mariña Central,1986,0.318,0.545,0.136,0.56,0.76,-7.36,43.43
Mondoi,A Coruña,225,0.02,0.475,0.505,0.3,0.78,-8.21,43.26
Monfero,Eume,779,0.081,0.435,0.484,0.17,0.83,-8.06,43.33
Monforte de Lemos,Chantada,16630,0.222,0.611,0.167,0.54,0.76,-7.51,42.52
Monteagudo,A Coruña,358,0.02,0.475,0.505,0.3,0.78,-8.58,43.28
Montederramo,Terra De Caldelas,152,0.188,0.5,0.313,0.17,0.73,-7.5,42.28
Montefurado,Chantada,162,0.222,0.611,0.167,0.54,0.76,-7.2,42.39
Monterroso,A Ulloa,2057,0.154,0.641,0.205,0.5,0.78,-7.84,42.79
Montouto,A Coruña,393,0.02,0.475,0.505,0.3,0.78,-8.33,43.2
Morás,A Coruña,1194,0.02,0.475,0.505,0.3,0.78,-8.47,43.3
Moraña,Caldas,934,0.19,0.667,0.143,0.48,0.75,-8.59,42.59
Moruxo,A Coruña,407,0.02,0.475,0.505,0.3,0.78,-8.23,43.33
Mosteirón,A Coruña,259,0.02,0.475,0.505,0.3,0.78,-8.29,43.35
Mosteiro,A Ulloa,185,0.154,0.641,0.205,0.5,0.78,-7.35,43.13
Mugardos,Eume,2575,0.081,0.435,0.484,0.17,0.83,-8.26,43.46
Mugueimes,Terra De Celanova,203,0.5,0.467,0.033,0.64,0.76,-7.97,41.96
Muniferral,A Coruña,289,0.02,0.475,0.505,0.3,0.78,-8.05,43.24
Muras,A Ulloa,78,0.154,0.641,0.205,0.5,0.78,-7.72,43.47
Muros,Xallas,2523,0.657,0.286,0.057,0.71,0.85,-9.06,42.77
Muxía,Xallas,1635,0.657,0.286,0.057,0.71,0.85,-9.22,43.11
Narón,Eume,38910,0.081,0.435,0.484,0.17,0.83,-8.19,43.5
Neda,Eume,1513,0.081,0.435,0.484,0.17,0.83,-8.16,43.5
Negreira,A Barcala,3491,0.192,0.59,0.218,0.49,0.75,-8.73,42.91
Negueira,A Fonsagrada,36,0.476,0.476,0.048,0.63,0.82,-6.89,43.13
Nigrán,Vigo,1268,0.039,0.512,0.449,0.24,0.8,-8.81,42.14
Noia,Barbanza,8430,0.282,0.615,0.103,0.62,0.79,-8.89,42.79
Numide,Arzúa,131,0.4,0.52,0.08,0.6,0.75,-8.47,43.06
O Barco de Valdeorras,Terra De Caldelas,11469,0.188,0.5,0.313,0.17,0.73,-6.98,42.42
O Bolo,Terra De Caldelas,176,0.188,0.5,0.313,0.17,0.73,-7.1,42.31
O Calvario,A Paradanta,569,0.132,0.579,0.289,0.45,0.78,-8.84,41.94
O Campo,Terra De Caldelas,101,0.188,0.5,0.313,0.17,0.73,-7.3,42.37
O Carballiño,O Carballiño,11062,0.167,0.75,0.083,0.54,0.8,-8.08,42.43
O Castro de Ferreira,Chantada,429,0.222,0.611,0.167,0.54,0.76,-7.62,42.51
O Convento,Pontevedra,26,0.058,0.481,0.462,0.16,0.8,-8.68,42.45
O Corgo,A Ulloa,150,0.154,0.641,0.205,0.5,0.78,-7.43,42.94
O Grove,Caldas,7403,0.19,0.667,0.143,0.48,0.75,-8.87,42.5
O Irixo,O Carballiño,165,0.167,0.75,0.083,0.54,0.8,-8.12,42.51
O Milladoiro,A Barcala,12032,0.192,0.59,0.218,0.49,0.75,-8.58,42.84
O Mosteiro,Caldas,182,0.19,0.667,0.143,0.48,0.75,-8.7,42.52
O Páramo,A Fonsagrada,39,0.476,0.476,0.048,0.63,0.82,-7.5,42.84
O Pazo (Arbo),A Paradanta,287,0.132,0.579,0.289,0.45,0.78,-8.31,42.11
O Pedrouzo,Arzúa,573,0.4,0.52,0.08,0.6,0.75,-8.37,42.9
O Pereiro,Terra De Celanova,150,0.5,0.467,0.033,0.64,0.76,-7.05,42.03
O Pereiro de Aguiar,Ourense,328,0.073,0.6,0.327,0.35,0.8,-7.8,42.35
O Picouto,Terra De Celanova,163,0.5,0.467,0.033,0.64,0.76,-8.02,42.19
O Porriño,Vigo,5656,0.039,0.512,0.449,0.24,0.8,-8.62,42.16
O Rosal,A Paradanta,6531,0.132,0.579,0.289,0.45,0.78,-8.84,41.94
O Rosal,Terra De Celanova,228,0.5,0.467,0.033,0.64,0.76,-7.47,41.9
O Seixo,Eume,830,0.081,0.435,0.484,0.17,0.83,-8.22,43.46
O Seixo,A Paradanta,1114,0.132,0.579,0.289,0.45,0.78,-8.74,41.99
O Temple,A Coruña,8946,0.02,0.475,0.505,0.3,0.78,-8.36,43.32
O Toural,Pontevedra,96,0.058,0.481,0.462,0.16,0.8,-8.64,42.36
O Vicedo,A Mariña Central,867,0.318,0.545,0.136,0.56,0.76,-7.67,43.73
Oímbra,Terra De Celanova,459,0.5,0.467,0.033,0.64,0.76,-7.47,41.89
Oia,A Paradanta,292,0.132,0.579,0.289,0.45,0.78,-8.88,42
Olas,Arzúa,340,0.4,0.52,0.08,0.6,0.75,-8.31,43.11
Oleiros,A Coruña,921,0.02,0.475,0.505,0.3,0.78,-8.32,43.33
Ordes,Arzúa,5823,0.4,0.52,0.08,0.6,0.75,-8.41,43.08
Ortigueira,Eume,1692,0.081,0.435,0.484,0.17,0.83,-7.85,43.68
Orto,A Coruña,260,0.02,0.475,0.505,0.3,0.78,-8.28,43.28
Os Blancos,Terra De Celanova,124,0.5,0.467,0.033,0.64,0.76,-7.75,42
Os Dices,A Barcala,90,0.192,0.59,0.218,0.49,0.75,-8.69,42.76
Osedo,A Coruña,1025,0.02,0.475,0.505,0.3,0.78,-8.28,43.34
Oseiro,A Coruña,5365,0.02,0.475,0.505,0.3,0.78,-8.49,43.32
Ouces,A Coruña,919,0.02,0.475,0.505,0.3,0.78,-8.24,43.34
Ourense,Ourense,107186,0.073,0.6,0.327,0.35,0.8,-7.87,42.34
Ourol,A Mariña Central,54,0.318,0.545,0.136,0.56,0.76,-7.64,43.56
Outeiro de Rei,A Ulloa,296,0.154,0.641,0.205,0.5,0.78,-7.61,43.1
Outomuro,Terra De Celanova,322,0.5,0.467,0.033,0.64,0.76,-8.02,42.22
Oza,A Coruña,597,0.02,0.475,0.505,0.3,0.78,-8.19,43.21
Pacios,A Fonsagrada,68,0.476,0.476,0.048,0.63,0.82,-7.1,42.68
Paderne,A Coruña,107,0.02,0.475,0.505,0.3,0.78,-8.26,43.18
Paderne,A Coruña,180,0.02,0.475,0.505,0.3,0.78,-8.17,43.29
Padornelo,A Fonsagrada,123,0.476,0.476,0.048,0.63,0.82,-7.12,42.71
Padrón,A Barcala,9016,0.192,0.59,0.218,0.49,0.75,-8.66,42.74
Padrenda,Terra De Celanova,201,0.5,0.467,0.033,0.64,0.76,-8.16,42.14
Palas de Rei,A Ulloa,3743,0.154,0.641,0.205,0.5,0.78,-7.87,42.87
Panxón,Vigo,3901,0.039,0.512,0.449,0.24,0.8,-8.82,42.14
Parada,A Coruña,286,0.02,0.475,0.505,0.3,0.78,-8.18,43.22
Parada,Arzúa,316,0.4,0.52,0.08,0.6,0.75,-8.45,43.07
Parada de Piñor,Ourense,1559,0.073,0.6,0.327,0.35,0.8,-7.9,42.32
Parada do Sil,Terra De Caldelas,104,0.188,0.5,0.313,0.17,0.73,-7.57,42.38
Paradela,A Fonsagrada,211,0.476,0.476,0.048,0.63,0.82,-7.57,42.76
Pastoriza,A Coruña,3367,0.02,0.475,0.505,0.3,0.78,-8.47,43.34
Pastoriza,A Ulloa,190,0.154,0.641,0.205,0.5,0.78,-7.35,43.3
Pedrafigueira,Xallas,249,0.657,0.286,0.057,0.71,0.85,-9.09,42.83
Pedrafita do Cebreiro,A Fonsagrada,241,0.476,0.476,0.048,0.63,0.82,-7.02,42.73
Pereira,Arzúa,330,0.4,0.52,0.08,0.6,0.75,-8.4,43.05
Petín,Terra De Caldelas,670,0.188,0.5,0.313,0.17,0.73,-7.13,42.38
Piñor,O Carballiño,109,0.167,0.75,0.083,0.54,0.8,-8.01,42.5
Piadela,A Coruña,755,0.02,0.475,0.505,0.3,0.78,-8.25,43.27
Pobra de San Xiao,A Fonsagrada,699,0.476,0.476,0.048,0.63,0.82,-7.44,42.86
Ponte Caldelas,Pontevedra,991,0.058,0.481,0.462,0.16,0.8,-8.5,42.39
Ponte Ulla,A Barcala,340,0.192,0.59,0.218,0.49,0.75,-8.4,42.78
Ponte Valga,Caldas,434,0.19,0.667,0.143,0.48,0.75,-8.65,42.7
Ponteareas,A Paradanta,11465,0.132,0.579,0.289,0.45,0.78,-8.51,42.17
Ponteceso,Xallas,5893,0.657,0.286,0.057,0.71,0.85,-8.9,43.24
Pontecesures,Caldas,3136,0.19,0.667,0.143,0.48,0.75,-8.65,42.72
Pontedeume,Eume,4624,0.081,0.435,0.484,0.17,0.83,-8.17,43.41
Pontellas,A Coruña,224,0.02,0.475,0.505,0.3,0.78,-8.23,43.3
Pontevedra,Pontevedra,82400,0.058,0.481,0.462,0.16,0.8,-8.64,42.43
Porto do Son,Barbanza,2152,0.282,0.615,0.103,0.62,0.79,-9,42.73
Portobravo,Barbanza,61,0.282,0.615,0.103,0.62,0.79,-8.87,42.79
Portomarín,A Ulloa,548,0.154,0.641,0.205,0.5,0.78,-7.62,42.81
Portomouro,A Barcala,360,0.192,0.59,0.218,0.49,0.75,-8.65,42.96
Porzomillos,A Coruña,412,0.02,0.475,0.505,0.3,0.78,-8.2,43.25
Poulo,Arzúa,333,0.4,0.52,0.08,0.6,0.75,-8.38,43.06
Présaras,A Coruña,265,0.02,0.475,0.505,0.3,0.78,-8.11,43.05
Prado,Tabeirós-Terra De Montes,195,0.48,0.36,0.16,0.58,0.69,-8.18,42.68
Pravio,A Coruña,883,0.02,0.475,0.505,0.3,0.78,-8.32,43.3
Presedo,A Coruña,135,0.02,0.475,0.505,0.3,0.78,-8.26,43.21
Probaos,A Coruña,293,0.02,0.475,0.505,0.3,0.78,-8.25,43.16
Queixas,Arzúa,888,0.4,0.52,0.08,0.6,0.75,-8.48,43.15
Queixeiro,Eume,286,0.081,0.435,0.484,0.17,0.83,-8.06,43.38
Quembre,A Coruña,354,0.02,0.475,0.505,0.3,0.78,-8.37,43.21
Quintáns,Xallas,181,0.657,0.286,0.057,0.71,0.85,-9.15,43.08
Quintela,A Paradanta,225,0.132,0.579,0.289,0.45,0.78,-8.21,42.15
Quintela de Leirado,Terra De Celanova,175,0.5,0.467,0.033,0.64,0.76,-8.1,42.14
Quiroga,Chantada,1518,0.222,0.611,0.167,0.54,0.76,-7.27,42.48
Rábade,A Ulloa,1723,0.154,0.641,0.205,0.5,0.78,-7.62,43.12
Río Caldo,Terra De Celanova,419,0.5,0.467,0.033,0.64,0.76,-8.11,41.88
Rairiz de Veiga,Terra De Celanova,230,0.5,0.467,0.033,0.64,0.76,-7.83,42.08
Randín,Terra De Celanova,131,0.5,0.467,0.033,0.64,0.76,-7.87,41.91
Reboredo,A Coruña,125,0.02,0.475,0.505,0.3,0.78,-8.16,43.21
Redondela,Vigo,7383,0.039,0.512,0.449,0.24,0.8,-8.61,42.28
Requián,A Coruña,663,0.02,0.475,0.505,0.3,0.78,-8.24,43.26
Riós,Terra De Celanova,216,0.5,0.467,0.033,0.64,0.76,-7.28,41.97
Rianxo,Barbanza,4856,0.282,0.615,0.103,0.62,0.79,-8.82,42.65
Ribadavia,O Carballiño,3321,0.167,0.75,0.083,0.54,0.8,-8.14,42.29
Ribadeo,A Mariña Central,6466,0.318,0.545,0.136,0.56,0.76,-7.04,43.54
Ribadumia,Caldas,1637,0.19,0.667,0.143,0.48,0.75,-8.76,42.51
Ribeira,Barbanza,14823,0.282,0.615,0.103,0.62,0.79,-8.99,42.56
Rinlo,A Mariña Central,233,0.318,0.545,0.136,0.56,0.76,-7.1,43.56
Rioseco,Terra De Caldelas,61,0.188,0.5,0.313,0.17,0.73,-7.75,42.28
Rodeiro,A Coruña,316,0.02,0.475,0.505,0.3,0.78,-8.13,43.19
Rodeiro,Tabeirós-Terra De Montes,320,0.48,0.36,0.16,0.58,0.69,-7.95,42.65
Rois,A Coruña,176,0.02,0.475,0.505,0.3,0.78,-8.24,43.31
Rubiá,Terra De Caldelas,842,0.188,0.5,0.313,0.17,0.73,-6.95,42.45
Rubiás,Terra De Celanova,95,0.5,0.467,0.033,0.64,0.76,-7.83,41.91
Sabugueira,A Barcala,1018,0.192,0.59,0.218,0.49,0.75,-8.45,42.9
Sada,A Coruña,9563,0.02,0.475,0.505,0.3,0.78,-8.25,43.35
Salceda de Caselas,Vigo,2798,0.039,0.512,0.449,0.24,0.8,-8.56,42.1
Salto,A Coruña,323,0.02,0.475,0.505,0.3,0.78,-8.2,43.22
Salvaterra de Miño,A Paradanta,1865,0.132,0.579,0.289,0.45,0.78,-8.5,42.08
Samos,A Fonsagrada,180,0.476,0.476,0.048,0.63,0.82,-7.33,42.73
San Amaro,O Carballiño,199,0.167,0.75,0.083,0.54,0.8,-8.07,42.37
San Cibrao,Terra De Celanova,289,0.5,0.467,0.033,0.64,0.76,-7.46,41.87
San Cibrao das Viñas,Ourense,441,0.073,0.6,0.327,0.35,0.8,-7.87,42.3
San Clodio,Chantada,734,0.222,0.611,0.167,0.54,0.76,-7.29,42.47
San Cosme,A Mariña Central,569,0.318,0.545,0.136,0.56,0.76,-7.23,43.54
San Cristovo (Fumaces e A Trepa),Terra De Celanova,137,0.5,0.467,0.033,0.64,0.76,-7.32,41.98
San Pedro das Viñas,A Coruña,230,0.02,0.475,0.505,0.3,0.78,-8.23,43.29
San Ramón,Eume,193,0.081,0.435,0.484,0.17,0.83,-8.02,43.56
San Román,A Barcala,320,0.192,0.59,0.218,0.49,0.75,-8.66,42.97
San Román de Cervantes,A Fonsagrada,78,0.476,0.476,0.048,0.63,0.82,-7.06,42.87
San Roque,Xallas,578,0.657,0.286,0.057,0.71,0.85,-8.74,43.19
San Sadurniño,Eume,3019,0.081,0.435,0.484,0.17,0.83,-8.07,43.53
San Salvador,Xallas,156,0.657,0.286,0.057,0.71,0.85,-8.81,43.08
San Vicente de Fervenzas,A Coruña,247,0.02,0.475,0.505,0.3,0.78,-8.1,43.21
San Vicente de Vigo,A Coruña,456,0.02,0.475,0.505,0.3,0.78,-8.31,43.25
San Vicenzo,A Barcala,335,0.192,0.59,0.218,0.49,0.75,-8.76,42.96
San Xoán de Laíño,A Barcala,735,0.192,0.59,0.218,0.49,0.75,-8.72,42.71
Sandiás,Terra De Celanova,232,0.5,0.467,0.033,0.64,0.76,-7.76,42.11
Santa Comba,Xallas,2750,0.657,0.286,0.057,0.71,0.85,-8.81,43.03
Santa Cruz de Montaos,Arzúa,823,0.4,0.52,0.08,0.6,0.75,-8.43,43.04
Santa María de Ois,A Coruña,454,0.02,0.475,0.505,0.3,0.78,-8.12,43.23
Santa María de Vigo,A Coruña,311,0.02,0.475,0.505,0.3,0.78,-8.31,43.26
Santiago de Compostela,A Barcala,94824,0.192,0.59,0.218,0.49,0.75,-8.55,42.88
Santiago de Ois,A Coruña,180,0.02,0.475,0.505,0.3,0.78,-8.12,43.25
Santigoso,Terra De Celanova,107,0.5,0.467,0.033,0.64,0.76,-7.03,42.01
Santo Antoniño,Pontevedra,357,0.058,0.481,0.462,0.16,0.8,-8.64,42.52
Sanxenxo,Caldas,2358,0.19,0.667,0.143,0.48,0.75,-8.81,42.4
Sarandós,A Coruña,616,0.02,0.475,0.505,0.3,0.78,-8.34,43.22
Sarria,A Fonsagrada,13400,0.476,0.476,0.048,0.63,0.82,-7.41,42.78
Sergude,A Coruña,157,0.02,0.475,0.505,0.3,0.78,-8.34,43.24
Sergude,A Barcala,800,0.192,0.59,0.218,0.49,0.75,-8.47,42.83
Seselle,Eume,123,0.081,0.435,0.484,0.17,0.83,-8.22,43.43
Sever,Terra De Celanova,62,0.5,0.467,0.033,0.64,0.76,-7.01,42.1
Sigüeiro,Arzúa,3623,0.4,0.52,0.08,0.6,0.75,-8.44,42.97
Sigrás,A Coruña,1515,0.02,0.475,0.505,0.3,0.78,-8.37,43.28
Silleda,Tabeirós-Terra De Montes,2784,0.48,0.36,0.16,0.58,0.69,-8.25,42.7
Soñeiro,A Coruña,802,0.02,0.475,0.505,0.3,0.78,-8.29,43.33
Sober,Chantada,312,0.222,0.611,0.167,0.54,0.76,-7.59,42.46
