town,Region,population,Galician frac,Bilingual frac.,Slovenian Frac.,S,k,lat,lon
Vilardevós,Terra De Celanova,254,0.5,0.467,0.033,0.64,0.76,-7.31,41.91
Vilariño de Conso,Terra De Celanova,147,0.5,0.467,0.033,0.64,0.76,-7.18,42.17
Vilariño Frío,O Carballiño,25,0.167,0.75,0.083,0.54,0.8,-7.99,42.56
Vilarmaior,Arzúa,339,0.4,0.52,0.08,0.6,0.75,-8.33,43.11
Vilarraso,A Coruña,442,0.02,0.475,0.505,0.3,0.78,-8.03,43.18
Vilasantar,A Coruña,107,0.02,0.475,0.505,0.3,0.78,-8.12,43.07
Vilaza,Terra De Celanova,489,0.5,0.467,0.033,0.64,0.76,-7.49,41.93
Vimianzo,Xallas,1412,0.657,0.286,0.057,0.71,0.85,-9.03,43.11
Visantoña,Arzúa,559,0.4,0.52,0.08,0.6,0.75,-8.3,43.13
Visuña,Chantada,50,0.222,0.611,0.167,0.54,0.76,-7.07,42.61
Viveiro,A Mariña Central,16000,0.318,0.545,0.136,0.56,0.76,-7.59,43.66
Vixoi,A Coruña,515,0.02,0.475,0.505,0.3,0.78,-8.24,43.29
Vizoño,A Coruña,245,0.02,0.475,0.505,0.3,0.78,-8.31,43.17
Xanceda,Arzúa,341,0.4,0.52,0.08,0.6,0.75,-8.24,43.08
Xermade,A Ulloa,106,0.154,0.641,0.205,0.5,0.78,-7.81,43.36
Xinzo de Limia,Terra De Celanova,6958,0.5,0.467,0.033,0.64,0.76,-7.73,42.06
Xove,A Mariña Central,1295,0.318,0.545,0.136,0.56,0.76,-7.51,43.69
Xunqueira de Ambía,Terra De Caldelas,1900,0.188,0.5,0.313,0.17,0.73,-7.74,42.21
Xunqueira de Espadañedo,Terra De Caldelas,386,0.188,0.5,0.313,0.17,0.73,-7.63,42.32
Zamáns,Vigo,834,0.039,0.512,0.449,0.24,0.8,-8.69,42.16
